time,temperature
1483434000,32.83
1483437600,32.69
1483441200,33.28
1483444800,33.61
1483448400,34.35
1483452000,34.83
1483455600,35.47
1483459200,35.81
1483462800,36.2
1483466400,36.46
1483470000,36.46
1483473600,36.49
1483477200,36.52
1483480800,36.46
1483484400,36.76
1483488000,36.93
1483491600,36.96
1483495200,36.79
1483498800,36.71
1483502400,36.49
1483506000,36.43
1483509600,36.17
1483513200,35.6
1483516800,34.85
1483520400,34.45
1483524000,33.84
1483527600,33.76
1483531200,34.12
1483534800,35.11
1483538400,36.49
1483542000,38.65
1483545600,40.47
1483549200,41.67
1483552800,42.07
1483556400,42.57
1483560000,41.66
1483563600,40.16
1483567200,38.68
1483570800,37.43
1483574400,35.44
1483578000,33.48
1483581600,31.86
1483585200,30.21
1483588800,29.34
1483592400,28.23
1483596000,27.02
1483599600,26.07
1483603200,25.32
1483606800,24.5
1483610400,23.89
1483614000,23.05
1483617600,22.51
1483621200,23.03
1483624800,24.9
1483628400,26.78
1483632000,27.92
1483635600,28.89
1483639200,29.29
1483642800,29.59
1483646400,28.94
1483650000,27.64
1483653600,25.92
1483657200,25.04
1483660800,24.2
1483664400,24.17
1483668000,24.69
1483671600,25.01
1483675200,25.11
1483678800,24.41
1483682400,24.14
1483686000,24.35
1483689600,24.06
1483693200,23.84
1483696800,23.26
1483700400,23.33
1483704000,23.25
1483707600,23.2
1483711200,24
1483714800,24.91
1483718400,26.8
1483722000,27.53
1483725600,27.79
1483729200,27.3
1483732800,25.91
1483736400,24.62
1483740000,22.72
1483743600,20.9
1483747200,20.33
1483750800,19.29
1483754400,18.97
1483758000,18.28
1483761600,16.83
1483765200,16.33
1483768800,15.7
1483772400,15.44
1483776000,15.29
1483779600,14.94
1483783200,15.08
1483786800,15.82
1483790400,16.27
1483794000,16.95
1483797600,18.08
1483801200,19.23
1483804800,20.07
1483808400,20.97
1483812000,20.65
1483815600,20.4
1483819200,19.99
1483822800,18.52
1483826400,18.65
1483830000,18.39
1483833600,18.47
1483837200,18.09
1483840800,17.46
1483844400,17.25
1483848000,17.39
1483851600,15.74
1483855200,14.28
1483858800,12.92
1483862400,10.81
1483866000,9.82
1483869600,7.77
1483873200,7.01
1483876800,6.14
1483880400,4.28
1483884000,7.82
1483887600,13.51
1483891200,17.6
1483894800,19.55
1483898400,21.36
1483902000,22.21
1483905600,21.66
1483909200,19.87
1483912800,18.87
1483916400,16.23
1483920000,14.66
1483923600,13.76
1483927200,13.15
1483930800,11.37
1483934400,9.09
1483938000,8.58
1483941600,10.12
1483945200,8.95
1483948800,6.68
1483952400,4.66
1483956000,3.28
1483959600,2.5
1483963200,2.62
1483966800,2.69
1483970400,6.85
1483974000,11.67
1483977600,14.7
1483981200,18.11
1483984800,20.1
1483988400,21.06
1483992000,20.77
1483995600,20.45
1483999200,19.07
1484002800,17.29
1484006400,16.24
1484010000,14.58
1484013600,14.44
1484017200,13.71
1484020800,12.1
1484024400,9.39
1484028000,8.28
1484031600,7.2
1484035200,6.42
1484038800,5.17
1484042400,4.65
1484046000,6.44
1484049600,7.08
1484053200,8.59
1484056800,12.87
1484060400,17.39
1484064000,21.15
1484067600,23.94
1484071200,25.91
1484074800,29.42
1484078400,30.07
1484082000,29.8
1484085600,28.93
1484089200,28.63
1484092800,29.27
1484096400,30.8
1484100000,32.62
1484103600,33.67
1484107200,33.45
